ESCulab,fairScoreContentPost,tbd
ESCulab,fairScoreContentPre,0.5
ESCulab,fairScoreHostingPost,tbd
ESCulab,fairScoreHostingPre,0.5
ESCulab,fairScoreOverallPost,tbd
ESCulab,fairScoreOverallPre,0
ESCulab,fairScoreRepresentationPost,tbd
ESCulab,fairScoreRepresentationPre,0.17
eTRANSAFE,fairScoreContentPost,tbd
eTRANSAFE,fairScoreContentPre,0.25
eTRANSAFE,fairScoreHostingPost,tbd
eTRANSAFE,fairScoreHostingPre,0.75
eTRANSAFE,fairScoreOverallPost,tbd
eTRANSAFE,fairScoreOverallPre,0
eTRANSAFE,fairScoreRepresentationPost,tbd
eTRANSAFE,fairScoreRepresentationPre,0.83
GNA-NOW,fairScoreContentPost,2.89
GNA-NOW,fairScoreContentPre,1
GNA-NOW,fairScoreHostingPost,2.8
GNA-NOW,fairScoreHostingPre,1
GNA-NOW,fairScoreOverallPost,2
GNA-NOW,fairScoreOverallPre,0
GNA-NOW,fairScoreRepresentationPost,3
GNA-NOW,fairScoreRepresentationPre,0.67
