project	acronym	BIOMAP
study	0.name	BIOMAP combined cohorts
study	0.description	Aggregation of all BIOMAP cohorts
study	0.types.0.value	biomarker discovery
study	0.studyGroups.0.name	Collection of 68 cohorts including a total of 72121 atopic dermatitis patients, 66968 psoriasis patients and 7583907 healthy controls
study	0.studyGroups.0.size	7692906
study	0.studyGroups.0.consentInformation.0.name.value	informed consent
study	0.studyGroups.0.consentInformation.0.name.valueIRI	NCIT:C16735
study	0.input.0.name	input material
study	0.input.0.taxonomy.0.identifier.identifier	NCBITaxon:9606
study	0.input.0.taxonomy.0.identifier.identifierSource	NCBI Taxon ID
study	0.input.0.taxonomy.0.name	Homo sapiens
study	0.input.0.types.0.value	tissue sample
study	0.input.0.types.0.valueIRI	NCIT:C19697
study	0.input.0.bearerOfDisease.0.name	psoriasis
study	0.input.0.bearerOfDisease.0.identifier.identifier	MONDO:0005083
study	0.input.0.bearerOfDisease.1.name	atopic dermatitis
study	0.input.0.bearerOfDisease.1.identifier.identifier	MONDO:0011292
study	0.input.0.bearerOfDisease.2.name	healthy individuals
study	0.input.0.derivesFrom.0.name	blood
study	0.input.0.derivesFrom.1.name	skin biopsy
study	0.input.0.derivesFrom.2.name	stool
study	0.input.0.derivesFrom.3.name	skin swab
study	0.acronym	BIOMAP
dataset	0.title	BIOMAP transcriptomics
dataset	0.study	0
dataset	0.types.0.value	transcriptomics
dataset	0.isAbout.0.name	blood	AnatomicalPart
dataset	0.isAbout.1.name	skin biopsy	AnatomicalPart
dataset	0.isAbout.2.name	psoriasis	Disease
dataset	0.isAbout.3.name	atopic dermatitis	Disease
dataset	0.isAbout.4.name	healthy controls	Disease
dataset	0.dimensions.0.name.value	sample size
dataset	0.dimensions.0.name.valueIRI	NCIT:C53190
dataset	0.dimensions.0.values.0.value	9445
dataset	1.title	BIOMAP DNA methylation
dataset	1.study	0
dataset	1.types.0.value	DNA methylation
dataset	1.isAbout.0.name	blood	AnatomicalPart
dataset	1.isAbout.1.name	skin biopsy	AnatomicalPart
dataset	1.isAbout.2.name	psoriasis	Disease
dataset	1.isAbout.3.name	atopic dermatitis	Disease
dataset	1.isAbout.4.name	healthy controls	Disease
dataset	1.dimensions.0.name.value	sample size
dataset	1.dimensions.0.name.valueIRI	NCIT:C53190
dataset	1.dimensions.0.values.0.value	8789
study	1.name	BIOMAP combined cohorts
study	1.description	Aggregation of all BIOMAP cohorts
study	1.types.0.value	biomarker discovery
study	1.studyGroups.0.name	Collection of 68 cohorts including a total of 72121 atopic dermatitis patients, 66968 psoriasis patients and 7583907 healthy controls
study	1.studyGroups.0.size	7692906
study	1.studyGroups.0.consentInformation.0.name.value	informed consent
study	1.studyGroups.0.consentInformation.0.name.valueIRI	NCIT:C16735
study	1.input.0.name	input material
study	1.input.0.taxonomy.0.identifier.identifier	NCBITaxon:9606
study	1.input.0.taxonomy.0.identifier.identifierSource	NCBI Taxon ID
study	1.input.0.taxonomy.0.name	Homo sapiens
study	1.input.0.types.0.value	tissue sample
study	1.input.0.types.0.valueIRI	NCIT:C19697
study	1.input.0.bearerOfDisease.0.name	psoriasis
study	1.input.0.bearerOfDisease.0.identifier.identifier	MONDO:0005083
study	1.input.0.bearerOfDisease.1.name	atopic dermatitis
study	1.input.0.bearerOfDisease.1.identifier.identifier	MONDO:0011292
study	1.input.0.bearerOfDisease.2.name	healthy individuals
study	1.input.0.derivesFrom.0.name	blood
study	1.input.0.derivesFrom.1.name	skin biopsy
study	1.input.0.derivesFrom.2.name	stool
study	1.input.0.derivesFrom.3.name	skin swab
study	1.acronym	BIOMAP
dataset	2.title	BIOMAP microbiome
dataset	2.study	1
dataset	2.types.0.value	microbiome
dataset	2.isAbout.0.name	stool	AnatomicalPart
dataset	2.isAbout.1.name	skin swab	AnatomicalPart
dataset	2.isAbout.2.name	psoriasis	Disease
dataset	2.isAbout.3.name	atopic dermatitis	Disease
dataset	2.isAbout.4.name	healthy controls	Disease
dataset	2.dimensions.0.name.value	sample size
dataset	2.dimensions.0.name.valueIRI	NCIT:C53190
dataset	2.dimensions.0.values.0.value	4752
dataset	3.title	BIOMAP microbiome
dataset	3.types.0.value	microbiome
dataset	3.isAbout.0.name	stool	AnatomicalPart
dataset	3.isAbout.1.name	skin swab	AnatomicalPart
dataset	3.isAbout.2.name	psoriasis	Disease
dataset	3.isAbout.3.name	atopic dermatitis	Disease
dataset	3.isAbout.4.name	healthy controls	Disease
dataset	3.dimensions.0.name.value	sample size
dataset	3.dimensions.0.name.valueIRI	NCIT:C53190
dataset	3.dimensions.0.values.0.value	4752
